Date,time,relativeTime,voltage,current,temperature,capacity,energy,SOC,SOH,SOE,filename
2014-08-01 19:20:34,9800.31,0.04,4.117,1.005,21.44678,0.0,0.0,100.0,100.0,100.0,2
2014-08-01 19:20:34,9830.31,30.04,4.089,1.0,21.49356,0.0083541665,0.0342774375,99.60577,100.0,99.56612,2
2014-08-01 19:20:34,9860.31,60.04,4.075,1.0,21.54034,0.0166875,0.0682941041666666,99.21251,100.0,99.13553,2
2014-08-01 19:20:34,9890.31,90.03999999999999,4.065,1.0,21.57152,0.025020834,0.1022107708333333,98.81926,100.0,98.706215,2
2014-08-01 19:20:34,9920.31,120.04,4.057,1.0,21.60271,0.033354167,0.1360524375,98.426,100.0,98.27785,2
2014-08-01 19:20:34,9950.31,150.04,4.05,1.0,21.66508,0.0416875,0.1698316041666666,98.032745,100.0,97.850266,2
2014-08-01 19:20:34,9980.31,180.04,4.045,1.0,21.69627,0.050020833,0.2035607708333333,97.639496,100.0,97.423325,2
2014-08-01 19:20:34,10010.31,210.04,4.04,1.0,21.75864,0.058354165,0.2372482708333333,97.24624,100.0,96.9969,2
2014-08-01 19:20:34,10040.31,240.04,4.035,1.0,21.82101,0.0666875,0.2708941041666667,96.85299,100.0,96.571014,2
2014-08-01 19:20:34,10070.31,270.04,4.03,0.999,21.86779,0.07501667,0.3044814791666667,96.45993,100.0,96.14587,2
2014-08-01 19:20:34,10100.31,300.04,4.026,1.0,21.93016,0.08334583,0.3380313541666667,96.06687,100.0,95.72119,2
2014-08-01 19:20:34,10130.31,330.04,4.022,1.0,21.97694,0.09167916,0.3715646875,95.67362,100.0,95.29672,2
2014-08-01 19:20:34,10160.31,360.04,4.018,1.0,22.03931,0.1000125,0.4050646875,95.280365,100.0,94.87268,2
2014-08-01 19:20:34,10190.31,390.04,4.013,0.999,22.0705,0.108341664,0.4385104666666667,94.88731,100.0,94.449326,2
2014-08-01 19:20:34,10220.31,420.04,4.009,1.0,22.11728,0.11667083,0.4719187458333334,94.494255,100.0,94.02644,2
2014-08-01 19:20:34,10250.31,450.04,4.005,1.0,22.16405,0.12500417,0.5053104125000001,94.101,100.0,93.60377,2
2014-08-01 19:20:34,10280.31,480.04,4.002,1.0,22.22643,0.1333375,0.5386729125,93.70775,100.0,93.181465,2
2014-08-01 19:20:34,10310.31,510.04,3.998,1.0,22.2888,0.14167084,0.5720062458333334,93.31449,100.0,92.75953,2
2014-08-01 19:20:34,10340.31,540.04,3.994,0.999,22.31998,0.15,0.6052896041666666,92.92143,100.0,92.33823,2
2014-08-01 19:20:34,10370.31,570.04,3.99,1.0,22.35117,0.15832917,0.6385396291666665,92.52838,100.0,91.91735,2
2014-08-01 19:20:34,10400.31,600.04,3.986,1.0,22.38235,0.1666625,0.6717729624999998,92.135124,100.0,91.49668,2
2014-08-01 19:20:34,10430.31,630.04,3.982,1.0,22.41354,0.17499584,0.7049729624999999,91.741875,100.0,91.07643,2
2014-08-01 19:20:34,10460.31,660.04,3.978,0.999,22.44473,0.183325,0.7381230541666666,91.348816,100.0,90.65682,2
2014-08-01 19:20:34,10490.31,690.04,3.975,1.0,22.47591,0.19165416,0.7712439791666666,90.95576,100.0,90.23757,2
2014-08-01 19:20:34,10520.31,720.04,3.971,1.0,22.5071,0.1999875,0.8043523124999999,90.5625,100.0,89.81849,2
2014-08-01 19:20:34,10550.31,750.04,3.967,1.0,22.52269,0.20832083,0.8374273124999999,90.16925,100.0,89.399826,2
2014-08-01 19:20:34,10580.31,780.04,3.963,1.0,22.56947,0.21665417,0.8704689791666665,89.77599,100.0,88.98158,2
2014-08-01 19:20:34,10610.31,810.04,3.96,1.0,22.61625,0.2249875,0.9034814791666664,89.382744,100.0,88.563705,2
2014-08-01 19:20:34,10640.31,840.04,3.956,1.001,22.64744,0.233325,0.9364812958333332,88.989296,100.0,88.145996,2
2014-08-01 19:20:34,10670.31,870.04,3.952,1.0,22.67862,0.2416625,0.9694477791666664,88.59584,100.0,87.72871,2
2014-08-01 19:20:34,10700.31,900.04,3.949,1.0,22.70981,0.24999583,1.0023686125,88.20259,100.0,87.31199,2
2014-08-01 19:20:34,10730.31,930.04,3.945,1.0,22.7254,0.25832915,1.0352602791666663,87.80933,100.0,86.895645,2
2014-08-01 19:20:34,10760.31,960.04,3.942,0.999,22.74099,0.26665834,1.0681063541666669,87.416275,100.0,86.47988,2
2014-08-01 19:20:34,10790.31,990.04,3.938,0.999,22.77218,0.27498335,1.1009068541666664,87.023415,100.0,86.06469,2
2014-08-01 19:20:34,10820.31,1020.04,3.934,1.0,22.80336,0.2833125,1.1336904458333332,86.63036,100.0,85.64972,2
2014-08-01 19:20:34,10850.31,1050.04,3.931,1.0,22.83455,0.29164582,1.1664612791666664,86.23711,100.0,85.2349,2
2014-08-01 19:20:34,10880.31,1080.04,3.928,1.0,22.86574,0.29997918,1.1992071125,85.84386,100.0,84.820404,2
2014-08-01 19:20:34,10910.31,1110.04,3.924,1.0,22.88133,0.3083125,1.2319237791666664,85.4506,100.0,84.40628,2
2014-08-01 19:20:34,10940.31,1140.04,3.921,1.0,22.89692,0.31664583,1.2646112791666666,85.05734,100.0,83.992516,2
2014-08-01 19:20:34,10970.31,1170.04,3.917,1.0,22.92811,0.32497916,1.2972696124999998,84.66409,100.0,83.579124,2
2014-08-01 19:20:34,11000.31,1200.04,3.914,1.0,22.9437,0.3333125,1.3298987791666668,84.270836,100.0,83.16611,2
2014-08-01 19:20:34,11030.31,1230.04,3.91,1.0,22.97489,0.34164584,1.3624987791666667,83.87759,100.0,82.753456,2
2014-08-01 19:20:34,11060.31,1260.04,3.907,0.999,22.97489,0.349975,1.3950533333333337,83.48453,100.0,82.34138,2
2014-08-01 19:20:34,11090.31,1290.04,3.903,1.0,23.02167,0.35830417,1.4275787208333333,83.09147,100.0,81.92967,2
