comment,Date,time,relativeTime,voltage,current,temperature,capacity,energy,SOC,SOH,SOE,filename
reference discharge,2014-08-01 19:22:34,9813.11,0.04,4.117,1.004,21.5155,0.0,0.0,100.0,100.0,100.0,0
reference discharge,2014-08-01 19:22:34,9843.11,30.04,4.091,0.999,21.57779,0.008345833,0.0342515708333333,99.607994,100.0,99.56907,0
reference discharge,2014-08-01 19:22:34,9873.11,60.04,4.077,1.0,21.59336,0.016675,0.0682678583333333,99.21677,100.0,99.141106,0
reference discharge,2014-08-01 19:22:34,9903.11,90.03999999999999,4.068,1.0,21.64008,0.025008334,0.1022053583333333,98.82534,100.0,98.71413,0
reference discharge,2014-08-01 19:22:34,9933.11,120.04,4.061,0.999,21.70238,0.0333375,0.1360592708333333,98.43411,100.0,98.2882,0
reference discharge,2014-08-01 19:22:34,9963.11,150.04,4.055,0.999,21.76467,0.0416625,0.1698421208333333,98.04308,100.0,97.86317,0
reference discharge,2014-08-01 19:22:34,9993.11,180.04,4.049,1.0,21.81139,0.049991667,0.2035918916666666,97.651855,100.0,97.43855,0
reference discharge,2014-08-01 19:22:34,10023.11,210.04,4.044,1.0,21.84254,0.058325,0.237312725,97.26044,100.0,97.0143,0
reference discharge,2014-08-01 19:22:34,10053.11,240.04,4.04,1.0,21.9204,0.06665833,0.2709960583333333,96.86901,100.0,96.59052,0
reference discharge,2014-08-01 19:22:34,10083.11,270.04,4.035,0.999,21.95155,0.0749875,0.3046250791666666,96.47779,100.0,96.16742,0
reference discharge,2014-08-01 19:22:34,10113.11,300.04,4.031,1.0,21.99827,0.08331667,0.3382165999999999,96.08656,100.0,95.7448,0
reference discharge,2014-08-01 19:22:34,10143.11,330.04,4.027,1.0,22.06056,0.09165,0.3717916,95.69514,100.0,95.32238,0
reference discharge,2014-08-01 19:22:34,10173.11,360.04,4.023,1.0,22.12285,0.099983335,0.4053332666666667,95.30372,100.0,94.90038,0
reference discharge,2014-08-01 19:22:34,10203.11,390.04,4.019,1.0,22.16957,0.10831667,0.4388416,94.91229,100.0,94.478806,0
reference discharge,2014-08-01 19:22:34,10233.11,420.04,4.015,1.0,22.21629,0.11665,0.4723166,94.520874,100.0,94.05765,0
reference discharge,2014-08-01 19:22:34,10263.11,450.04,4.011,1.0,22.24744,0.12498333,0.5057582666666667,94.12945,100.0,93.63691,0
reference discharge,2014-08-01 19:22:34,10293.11,480.04,4.007,1.0,22.27859,0.13331667,0.5391666,93.73803,100.0,93.21659,0
reference discharge,2014-08-01 19:22:34,10323.11,510.04,4.003,1.0,22.34088,0.14165,0.5725416000000001,93.3466,100.0,92.796684,0
reference discharge,2014-08-01 19:22:34,10353.11,540.04,4.0,1.0,22.35645,0.14998333,0.6058874333333333,92.955185,100.0,92.37715,0
reference discharge,2014-08-01 19:22:34,10383.11,570.04,3.996,1.0,22.3876,0.15831667,0.6392040999999999,92.56376,100.0,91.957985,0
reference discharge,2014-08-01 19:22:34,10413.11,600.04,3.992,1.0,22.43432,0.16665,0.6724874333333333,92.17234,100.0,91.53924,0
reference discharge,2014-08-01 19:22:34,10443.11,630.04,3.988,1.001,22.44989,0.1749875,0.7057540499999999,91.78072,100.0,91.120705,0
reference discharge,2014-08-01 19:22:34,10473.11,660.04,3.984,1.0,22.49661,0.183325,0.7389873333333332,91.38911,100.0,90.70258,0
reference discharge,2014-08-01 19:22:34,10503.11,690.04,3.981,1.0,22.5589,0.19165833,0.7721748333333334,90.99768,100.0,90.28504,0
reference discharge,2014-08-01 19:22:34,10533.11,720.04,3.977,1.0,22.59005,0.19999167,0.8053331666666667,90.60626,100.0,89.86787,0
reference discharge,2014-08-01 19:22:34,10563.11,750.04,3.973,1.0,22.6212,0.208325,0.8384581666666666,90.214836,100.0,89.45111,0
reference discharge,2014-08-01 19:22:34,10593.11,780.04,3.97,1.0,22.66792,0.21665834,0.8715539999999999,89.82342,100.0,89.03472,0
reference discharge,2014-08-01 19:22:34,10623.11,810.04,3.966,1.0,22.68349,0.22499166,0.9046206666666666,89.43199,100.0,88.618706,0
reference discharge,2014-08-01 19:22:34,10653.11,840.04,3.962,1.0,22.69906,0.233325,0.937654,89.04057,100.0,88.2031,0
reference discharge,2014-08-01 19:22:34,10683.11,870.04,3.959,1.0,22.76135,0.24165833,0.9706581666666666,88.64915,100.0,87.787865,0
reference discharge,2014-08-01 19:22:34,10713.11,900.04,3.955,1.0,22.76135,0.24999167,1.003633166666667,88.25773,100.0,87.373,0
reference discharge,2014-08-01 19:22:34,10743.11,930.04,3.952,1.0,22.80807,0.258325,1.036579,87.8663,100.0,86.958496,0
reference discharge,2014-08-01 19:22:34,10773.11,960.04,3.948,1.0,22.83922,0.26665834,1.0694956666666666,87.474884,100.0,86.544365,0
reference discharge,2014-08-01 19:22:34,10803.11,990.04,3.945,1.0,22.8548,0.27499166,1.1023831666666666,87.08346,100.0,86.13059,0
reference discharge,2014-08-01 19:22:34,10833.11,1020.04,3.941,1.0,22.88594,0.283325,1.1352415,86.69204,100.0,85.71719,0
reference discharge,2014-08-01 19:22:34,10863.11,1050.04,3.938,1.0,22.90151,0.29165834,1.1680706666666665,86.30061,100.0,85.30416,0
reference discharge,2014-08-01 19:22:34,10893.11,1080.04,3.934,0.999,22.96381,0.2999875,1.200854275,85.90939,100.0,84.8917,0
